Site,SR,Plot,PL,Proness,ITV_PL,NestedT
HK2,1,1,0,0.002666667,-0.002666667,20.9200457
HK2,1,2,0.066666667,0.090555556,-0.023888889,20.9200457
HK2,1,3,0.086666667,0.090555556,-0.003888889,20.9200457
HK2,1,4,0.066666667,0.090555556,-0.023888889,20.9200457
HK2,1,5,0.033333333,0.090555556,-0.057222222,20.9200457
HK2,1,6,0,0.002666667,-0.002666667,20.9200457
HK2,2,1,0.023949278,0.003074275,0.020875003,20.9200457
HK2,2,2,0.04874261,0.062362508,-0.013619898,20.9200457
HK2,2,3,0.105484849,0.084284463,0.021200386,20.9200457
HK2,2,4,0.119171895,0.085355236,0.033816659,20.9200457
HK2,2,5,0,0.002805851,-0.002805851,20.9200457
HK2,2,6,0,0.002569604,-0.002569604,20.9200457
HK2,4,1,0.106587449,0.076732065,0.029855384,20.9200457
HK2,4,2,0.062366941,0.062366941,1.39E-17,20.9200457
HK2,4,3,0.076053321,0.060799521,0.0152538,20.9200457
HK2,4,4,0.019682797,0.016493454,0.003189343,20.9200457
HK2,4,5,0.015985849,0.022362367,-0.006376518,20.9200457
HK2,4,6,0.05127667,0.048190348,0.003086322,20.9200457
HK25,1,1,0.113333333,0.099028626,0.014304708,17.83546896
HK25,1,2,0.2,0.099028626,0.100971374,17.83546896
HK25,1,3,0.126666667,0.099028626,0.027638041,17.83546896
HK25,1,4,0.113333333,0.099028626,0.014304708,17.83546896
HK25,1,5,0.230769231,0.099028626,0.131740605,17.83546896
HK25,1,6,0.093333333,0.099028626,-0.005695292,17.83546896
HK25,2,1,0.076032762,0.086877922,-0.01084516,17.83546896
HK25,2,2,0.079038175,0.090312021,-0.011273846,17.83546896
HK25,2,3,0.069748211,0.060944731,0.00880348,17.83546896
HK25,2,4,0.097041133,0.084792794,0.012248339,17.83546896
HK25,2,5,0.068272727,0.067609544,0.000663184,17.83546896
HK25,2,6,0.033418173,0.029784202,0.003633971,17.83546896
HK25,4,1,0.01804687,0.025020195,-0.006973324,17.83546896
HK25,4,2,0.030476694,0.034284737,-0.003808043,17.83546896
HK25,4,3,0.013942493,0.019240966,-0.005298473,17.83546896
HK25,4,4,0.001476409,0.020722811,-0.019246402,17.83546896
HK25,4,5,0.001287858,0.00956511,-0.008277252,17.83546896
HK25,4,6,0.009159132,0.012698228,-0.003539096,17.83546896
HK26,1,1,0.18,0.104485597,0.075514403,18.94749375
HK26,1,2,0.133333333,0.104485597,0.028847737,18.94749375
HK26,1,3,0.093333333,0.104485597,-0.011152263,18.94749375
HK26,1,4,0.186666667,0.104485597,0.08218107,18.94749375
HK26,1,5,0.16,0.104485597,0.055514403,18.94749375
HK26,1,6,0.173333333,0.104485597,0.068847737,18.94749375
HK26,2,1,0.033514907,0.043772813,-0.010257906,18.94749375
HK26,2,2,0.058671426,0.043787992,0.014883433,18.94749375
HK26,2,3,0.017032775,0.016684496,0.000348278,18.94749375
HK26,2,4,0.088769558,0.069563552,0.019206006,18.94749375
HK26,2,5,0.098818779,0.098514905,0.000303875,18.94749375
HK26,2,6,0.100831289,0.098769538,0.002061751,18.94749375
HK26,4,1,0.026221637,0.020800931,0.005420706,18.94749375
HK26,4,2,0.025853331,0.030460434,-0.004607103,18.94749375
HK26,4,3,0.065942192,0.068640113,-0.002697921,18.94749375
HK26,4,4,0.061313235,0.070649697,-0.009336462,18.94749375
HK26,4,5,0.034705318,0.06194065,-0.027235333,18.94749375
HK26,4,6,0.049100314,0.06702794,-0.017927626,18.94749375
HK27,1,1,0,0,0,20.31113984
HK27,1,2,0,0,0,20.31113984
HK27,1,3,0.173333333,0.123424837,0.049908497,20.31113984
HK27,1,4,0.16,0.123424837,0.036575163,20.31113984
HK27,1,5,0.098039216,0.123424837,-0.025385621,20.31113984
HK27,1,6,0.16,0.123424837,0.036575163,20.31113984
HK27,2,1,0.131971346,0.114019602,0.017951745,20.31113984
HK27,2,2,0.112950301,0.094994487,0.017955814,20.31113984
HK27,2,3,0.102934829,0.105837866,-0.002903037,20.31113984
HK27,2,4,0.046524357,0.086133917,-0.03960956,20.31113984
HK27,2,5,0.028354718,0.013827801,0.014526917,20.31113984
HK27,2,6,0.096662219,0.105269282,-0.008607063,20.31113984
HK27,4,1,0.165365376,0.112603579,0.052761797,20.31113984
HK27,4,2,0.050143845,0.041351511,0.008792334,20.31113984
HK27,4,3,0.049607651,0.054425096,-0.004817445,20.31113984
HK27,4,4,0.075637403,0.116400365,-0.040762963,20.31113984
HK27,4,5,0.043295242,0.102639963,-0.059344721,20.31113984
HK27,4,6,0.028018853,0.0430547,-0.015035847,20.31113984
HK29,1,1,0.066666667,0.06,0.006666667,21.63545824
HK29,1,2,0.113333333,0.06,0.053333333,21.63545824
HK29,1,3,0.06,0.066666667,-0.006666667,21.63545824
HK29,1,4,0.093333333,0.066666667,0.026666667,21.63545824
HK29,1,5,0.073333333,0.066666667,0.006666667,21.63545824
HK29,1,6,0.06,0.066666667,-0.006666667,21.63545824
HK29,2,1,0.040302108,0.045339871,-0.005037763,21.63545824
HK29,2,2,0.072619269,0.066017517,0.006601752,21.63545824
HK29,2,3,0.013120816,0.016869621,-0.003748805,21.63545824
HK29,2,4,0.043712601,0.054640751,-0.01092815,21.63545824
HK29,2,5,0.041076014,0.024645609,0.016430406,21.63545824
HK29,2,6,0.03811647,0.057174704,-0.019058235,21.63545824
HK29,4,1,0.059366848,0.059366848,-3.47E-17,21.63545824
HK29,4,2,0.001015108,0.010001147,-0.008986039,21.63545824
HK29,4,3,0.008072539,0.011068164,-0.002995624,21.63545824
HK29,4,4,0.014696022,0.048986739,-0.034290717,21.63545824
HK29,4,5,0.046995754,0.039163128,0.007832626,21.63545824
HK29,4,6,0.019284445,0.011343791,0.007940654,21.63545824
HK30,1,1,0,0,0,23.45900733
HK30,1,2,0.08,0.031979167,0.048020833,23.45900733
HK30,1,3,0.0625,0.031979167,0.030520833,23.45900733
HK30,1,4,0.04,0.031979167,0.008020833,23.45900733
HK30,1,5,0,0.005,-0.005,23.45900733
HK30,1,6,0,0.001481481,-0.001481481,23.45900733
HK30,2,1,0,0.004016692,-0.004016692,23.45900733
HK30,2,2,0.001592609,0.006477941,-0.004885332,23.45900733
HK30,2,3,0,0.005858613,-0.005858613,23.45900733
HK30,2,4,0.005101005,0.00282758,0.002273425,23.45900733
HK30,2,5,0,0.002021894,-0.002021894,23.45900733
HK30,2,6,0,0.002235745,-0.002235745,23.45900733
HK30,4,1,0.005158265,0.004123925,0.00103434,23.45900733
HK30,4,2,0.005868143,0.01038617,-0.004518027,23.45900733
HK30,4,3,0.001997613,0.007642949,-0.005645336,23.45900733
HK30,4,4,0,0.003622028,-0.003622028,23.45900733
HK30,4,5,0,0.001261734,-0.001261734,23.45900733
HK30,4,6,0.011845231,0.004432013,0.007413218,23.45900733
HK31,1,1,0,0,0,15.5195353
HK31,1,2,0,0,0,15.5195353
HK31,1,3,0,0,0,15.5195353
HK31,1,4,0,0,0,15.5195353
HK31,1,5,0,0,0,15.5195353
HK31,1,6,0,0,0,15.5195353
HK31,2,1,0,0.001818368,-0.001818368,15.5195353
HK31,2,2,0,0.001464833,-0.001464833,15.5195353
HK31,2,3,0,0,0,15.5195353
HK31,2,4,0,0,0,15.5195353
HK31,2,5,0,0,0,15.5195353
HK31,2,6,0,0,0,15.5195353
HK31,4,1,0,0.002988947,-0.002988947,15.5195353
HK31,4,2,0.009452101,0.00189042,0.007561681,15.5195353
HK31,4,3,0,0,0,15.5195353
HK31,4,4,0,0,0,15.5195353
HK31,4,5,0,0,0,15.5195353
HK31,4,6,0.000342543,0.003038961,-0.002696418,15.5195353
HK32,1,1,0.013888889,0.013647343,0.000241546,24.2413498
HK32,1,2,0,0,0,24.2413498
HK32,1,3,0,0,0,24.2413498
HK32,1,4,0,0,0,24.2413498
HK32,1,5,0,0,0,24.2413498
HK32,1,6,0,0,0,24.2413498
HK32,2,1,0.009740035,0.009469478,0.000270557,24.2413498
HK32,2,2,0,0.00505024,-0.00505024,24.2413498
HK32,2,3,0,0.010267322,-0.010267322,24.2413498
HK32,2,4,0.003756079,0.007303488,-0.003547408,24.2413498
HK32,2,5,0.013333333,0.013356179,-2.28E-05,24.2413498
HK32,2,6,0.01475,0.013501912,0.001248088,24.2413498
HK32,4,1,0.005215666,0.008786453,-0.003570787,24.2413498
HK32,4,2,0.007546833,0.010926707,-0.003379874,24.2413498
HK32,4,3,0.007428944,0.009843472,-0.002414528,24.2413498
HK32,4,4,0.022668682,0.010760643,0.011908038,24.2413498
HK32,4,5,0.004928353,0.006139059,-0.001210706,24.2413498
HK32,4,6,0.007603824,0.006109936,0.001493888,24.2413498
HK33,1,1,0.06,0.043703704,0.016296296,26.87620786
HK33,1,2,0.04,0.043703704,-0.003703704,26.87620786
HK33,1,3,0.033333333,0.043703704,-0.01037037,26.87620786
HK33,1,4,0.026666667,0.043703704,-0.017037037,26.87620786
HK33,1,5,0.038461538,0.033494561,0.004966977,26.87620786
HK33,1,6,0.013333333,0.033494561,-0.020161228,26.87620786
HK33,2,1,0,0,0,26.87620786
HK33,2,2,0,0,0,26.87620786
HK33,2,3,0,0,0,26.87620786
HK33,2,4,0,0,0,26.87620786
HK33,2,5,0,0,0,26.87620786
HK33,2,6,0,0,0,26.87620786
HK33,4,1,0.001901204,0.014299763,-0.012398559,26.87620786
HK33,4,2,0.022764695,0.022451285,0.000313411,26.87620786
HK33,4,3,0.011559279,0.014749005,-0.003189725,26.87620786
HK33,4,4,0.022409775,0.020648404,0.001761372,26.87620786
HK33,4,5,0.028783321,0.016956166,0.011827155,26.87620786
HK33,4,6,0.016823233,0.015151796,0.001671437,26.87620786
HK34,1,1,0,0.002051282,-0.002051282,23.46368122
HK34,1,2,0,0.002051282,-0.002051282,23.46368122
HK34,1,3,0,0.002051282,-0.002051282,23.46368122
HK34,1,4,0,0.002051282,-0.002051282,23.46368122
HK34,1,5,0,0.002051282,-0.002051282,23.46368122
HK34,1,6,0,0.002051282,-0.002051282,23.46368122
HK34,2,1,0,5.75E-05,-5.75E-05,23.46368122
HK34,2,2,0,0.000217984,-0.000217984,23.46368122
HK34,2,3,0,0.001082007,-0.001082007,23.46368122
HK34,2,4,0,0.000870175,-0.000870175,23.46368122
HK34,2,5,0.002844941,0.000711235,0.002133706,23.46368122
HK34,2,6,0.005619939,0.000432303,0.005187636,23.46368122
HK34,4,1,0,0.001615036,-0.001615036,23.46368122
HK34,4,2,0,0.00118814,-0.00118814,23.46368122
HK34,4,3,0.001173586,0.001872132,-0.000698546,23.46368122
HK34,4,4,0,0.000896739,-0.000896739,23.46368122
HK34,4,5,0,0.002479035,-0.002479035,23.46368122
HK34,4,6,0.002462004,0.002346771,0.000115233,23.46368122
HK38,1,1,0,0,0,15.14263936
HK38,1,2,0,0,0,15.14263936
HK38,1,3,0.006666667,0.00125,0.005416667,15.14263936
HK38,1,4,0.006666667,0.00125,0.005416667,15.14263936
HK38,1,5,0,0.00125,-0.00125,15.14263936
HK38,1,6,0,0.00125,-0.00125,15.14263936
HK38,2,1,0,0.000243497,-0.000243497,15.14263936
HK38,2,2,0,0.0005278,-0.0005278,15.14263936
HK38,2,3,0,0.000468798,-0.000468798,15.14263936
HK38,2,4,0,0.000232814,-0.000232814,15.14263936
HK38,2,5,0.006666667,0.00125,0.005416667,15.14263936
HK38,2,6,0,0.000353675,-0.000353675,15.14263936
HK38,4,1,0,0.000276309,-0.000276309,15.14263936
HK38,4,2,0,0.000219694,-0.000219694,15.14263936
HK38,4,3,0,0.0001492,-0.0001492,15.14263936
HK38,4,4,0,0.000152553,-0.000152553,15.14263936
HK38,4,5,0,0.00010234,-0.00010234,15.14263936
HK38,4,6,0,0.000321422,-0.000321422,15.14263936
HK39,1,1,0,0.003333333,-0.003333333,31.1474543
HK39,1,2,0,0.003333333,-0.003333333,31.1474543
HK39,1,3,0,0,0,31.1474543
HK39,1,4,0,0,0,31.1474543
HK39,1,5,0,0,0,31.1474543
HK39,1,6,0,0.003333333,-0.003333333,31.1474543
HK39,2,1,0.006061266,0.011020484,-0.004959218,31.1474543
HK39,2,2,0,0.009436259,-0.009436259,31.1474543
HK39,2,3,0,0.01115614,-0.01115614,31.1474543
HK39,2,4,0.019169265,0.011617736,0.007551528,31.1474543
HK39,2,5,0.010792975,0.006541197,0.004251778,31.1474543
HK39,2,6,0,0,0,31.1474543
HK39,4,1,0.003209153,0.005872964,-0.002663811,31.1474543
HK39,4,2,0.008453539,0.005123357,0.003330182,31.1474543
HK39,4,3,0.011871281,0.010792073,0.001079207,31.1474543
HK39,4,4,0.006584633,0.010969801,-0.004385168,31.1474543
HK39,4,5,0.005014794,0.009117808,-0.004103013,31.1474543
HK39,4,6,0.02989954,0.01087256,0.01902698,31.1474543
HK40,1,1,0,0,0,19.15624147
HK40,1,2,0,0,0,19.15624147
HK40,1,3,0,0,0,19.15624147
HK40,1,4,0,0,0,19.15624147
HK40,1,5,0,0,0,19.15624147
HK40,1,6,0,0,0,19.15624147
HK40,2,1,0.040061575,0.010223734,0.029837841,19.15624147
HK40,2,2,0.009442409,0.009442409,8.67E-18,19.15624147
HK40,2,3,0.008244777,0.007097065,0.001147712,19.15624147
HK40,2,4,0.001315009,0.006248382,-0.004933374,19.15624147
HK40,2,5,0.007998392,0.020654934,-0.012656542,19.15624147
HK40,2,6,0.001342266,0.000894844,0.000447422,19.15624147
HK40,4,1,0,0.000969508,-0.000969508,19.15624147
HK40,4,2,0.009868775,0.013945551,-0.004076776,19.15624147
HK40,4,3,0,0.010091113,-0.010091113,19.15624147
HK40,4,4,0.001460271,0.006537964,-0.005077693,19.15624147
HK40,4,5,0.003968188,0.011876173,-0.007907985,19.15624147
HK40,4,6,0.009863449,0.007443135,0.002420314,19.15624147
HK5,1,1,0,0,0,24.52007555
HK5,1,2,0.023809524,0.034342694,-0.010533171,24.52007555
HK5,1,3,0,0,0,24.52007555
HK5,1,4,0,0,0,24.52007555
HK5,1,5,0.074074074,0.034342694,0.03973138,24.52007555
HK5,1,6,0.006666667,0.0075,-0.000833333,24.52007555
HK5,2,1,0,0,0,24.52007555
HK5,2,2,0,0.000782248,-0.000782248,24.52007555
HK5,2,3,0.00082078,0.000923378,-0.000102598,24.52007555
HK5,2,4,0.017292732,0.004863581,0.012429151,24.52007555
HK5,2,5,0,0.007000851,-0.007000851,24.52007555
HK5,2,6,0.00855343,0.006598361,0.00195507,24.52007555
HK5,4,1,0.002534654,0.003582512,-0.001047858,24.52007555
HK5,4,2,0.003264137,0.006474486,-0.003210349,24.52007555
HK5,4,3,0.01192619,0.009697027,0.002229162,24.52007555
HK5,4,4,0.003473002,0.004472709,-0.000999707,24.52007555
HK5,4,5,0.010104068,0.005683538,0.00442053,24.52007555
HK5,4,6,0,0.001155837,-0.001155837,24.52007555
HK6,1,1,0,0.022857143,-0.022857143,35.69473606
HK6,1,2,0,0.003472222,-0.003472222,35.69473606
HK6,1,3,0,0,0,35.69473606
HK6,1,4,0,0.00956757,-0.00956757,35.69473606
HK6,1,5,0,0,0,35.69473606
HK6,1,6,0.00877193,0.00956757,-0.00079564,35.69473606
HK6,2,1,0,0.003627004,-0.003627004,35.69473606
HK6,2,2,0,0.00292396,-0.00292396,35.69473606
HK6,2,3,0.016180284,0.009016847,0.007163437,35.69473606
HK6,2,4,0.004312856,0.00831585,-0.004002994,35.69473606
HK6,2,5,0.005646336,0.006069598,-0.000423262,35.69473606
HK6,2,6,0.013382417,0.009176514,0.004205902,35.69473606
HK6,4,1,0.001892811,0.006292551,-0.00439974,35.69473606
HK6,4,2,0.001387572,0.002142789,-0.000755217,35.69473606
HK6,4,3,0.001397525,0.000511969,0.000885556,35.69473606
HK6,4,4,0.007584281,0.006537937,0.001046344,35.69473606
HK6,4,5,0.01136925,0.006717962,0.004651288,35.69473606
HK6,4,6,0,0.005562469,-0.005562469,35.69473606
LM18,1,1,0.006666667,0.002464986,0.004201681,19.94136475
LM18,1,2,0,0.002464986,-0.002464986,19.94136475
LM18,1,3,0.008333333,0.002464986,0.005868347,19.94136475
LM18,1,4,0,0,0,19.94136475
LM18,1,5,0,0.002464986,-0.002464986,19.94136475
LM18,1,6,0.011904762,0.002464986,0.009439776,19.94136475
LM18,2,1,0.001052788,0.000389266,0.000663522,19.94136475
LM18,2,2,0,0.000254725,-0.000254725,19.94136475
LM18,2,3,0,0.000126103,-0.000126103,19.94136475
LM18,2,4,0,0.001431635,-0.001431635,19.94136475
